ncessch,school_name,school_year,year_start,enrollment,is_interpolated
090192000366,Environmental Sciences Magnet At Hooker School,2009-10,2009,345.0,False
090192000366,Environmental Sciences Magnet At Hooker School,2010-11,2010,275.0,False
090192000366,Environmental Sciences Magnet At Hooker School,2011-12,2011,358.0,False
090192000366,Environmental Sciences Magnet At Hooker School,2012-13,2012,570.0,False
090192000366,Environmental Sciences Magnet At Hooker School,2013-14,2013,596.0,False
090192000366,Environmental Sciences Magnet At Hooker School,2014-15,2014,607.0,False
090192000366,Environmental Sciences Magnet At Hooker School,2015-16,2015,613.0,False
090192000366,Environmental Sciences Magnet At Hooker School,2016-17,2016,610.0,False
090192000366,Environmental Sciences Magnet At Hooker School,2017-18,2017,613.0,False
090192000366,Environmental Sciences Magnet At Hooker School,2018-19,2018,607.0,False
090192000366,Environmental Sciences Magnet At Hooker School,2019-20,2019,606.0,False
090192000366,Environmental Sciences Magnet At Hooker School,2020-21,2020,573.0,False
090192000366,Environmental Sciences Magnet At Hooker School,2021-22,2021,552.0,False
090192000366,Environmental Sciences Magnet At Hooker School,2022-23,2022,556.0,False
090192000366,Environmental Sciences Magnet At Hooker School,2023-24,2023,567.0,False
090192000366,Environmental Sciences Magnet At Hooker School,2024-25,2024,547.0,False
090192000368,Kennelly School,1986-87,1986,578.0,False
090192000368,Kennelly School,1987-88,1987,604.0,False
090192000368,Kennelly School,1988-89,1988,617.0,False
090192000368,Kennelly School,1989-90,1989,632.0,False
090192000368,Kennelly School,1990-91,1990,609.0,False
090192000368,Kennelly School,1991-92,1991,671.0,False
090192000368,Kennelly School,1992-93,1992,658.0,False
090192000368,Kennelly School,1993-94,1993,723.0,False
090192000368,Kennelly School,1994-95,1994,751.0,False
090192000368,Kennelly School,1995-96,1995,824.0,False
090192000368,Kennelly School,1996-97,1996,832.0,False
090192000368,Kennelly School,1997-98,1997,887.0,False
090192000368,Kennelly School,1998-99,1998,911.0,False
090192000368,Kennelly School,1999-00,1999,886.0,False
090192000368,Kennelly School,2000-01,2000,944.0,False
090192000368,Kennelly School,2001-02,2001,996.0,False
090192000368,Kennelly School,2002-03,2002,867.0,False
090192000368,Kennelly School,2003-04,2003,773.0,False
090192000368,Kennelly School,2004-05,2004,817.0,False
090192000368,Kennelly School,2005-06,2005,821.0,False
090192000368,Kennelly School,2006-07,2006,830.0,False
090192000368,Kennelly School,2007-08,2007,809.0,False
090192000368,Kennelly School,2008-09,2008,799.0,False
090192000368,Kennelly School,2009-10,2009,795.0,False
090192000368,Kennelly School,2010-11,2010,783.0,False
090192000368,Kennelly School,2011-12,2011,799.0,False
090192000368,Kennelly School,2012-13,2012,703.0,False
090192000368,Kennelly School,2013-14,2013,658.0,False
090192000368,Kennelly School,2014-15,2014,621.0,False
090192000368,Kennelly School,2015-16,2015,571.0,False
090192000368,Kennelly School,2016-17,2016,558.0,False
090192000368,Kennelly School,2017-18,2017,534.0,False
090192000368,Kennelly School,2018-19,2018,626.0,False
090192000368,Kennelly School,2019-20,2019,644.0,False
090192000368,Kennelly School,2020-21,2020,605.0,False
090192000368,Kennelly School,2021-22,2021,579.0,False
090192000368,Kennelly School,2022-23,2022,598.0,False
090192000368,Kennelly School,2023-24,2023,650.0,False
090192000368,Kennelly School,2024-25,2024,628.0,False
090192000370,Kinsella Magnet School Of Performing Arts: Pk-8 Campus,1986-87,1986,650.0,False
090192000370,Kinsella Magnet School Of Performing Arts: Pk-8 Campus,1987-88,1987,638.0,False
090192000370,Kinsella Magnet School Of Performing Arts: Pk-8 Campus,1988-89,1988,687.0,False
090192000370,Kinsella Magnet School Of Performing Arts: Pk-8 Campus,1989-90,1989,624.0,False
090192000370,Kinsella Magnet School Of Performing Arts: Pk-8 Campus,1990-91,1990,715.0,False
090192000370,Kinsella Magnet School Of Performing Arts: Pk-8 Campus,1991-92,1991,708.0,False
090192000370,Kinsella Magnet School Of Performing Arts: Pk-8 Campus,1992-93,1992,658.0,False
090192000370,Kinsella Magnet School Of Performing Arts: Pk-8 Campus,1993-94,1993,681.0,False
090192000370,Kinsella Magnet School Of Performing Arts: Pk-8 Campus,1994-95,1994,567.0,False
090192000370,Kinsella Magnet School Of Performing Arts: Pk-8 Campus,1995-96,1995,549.0,False
090192000370,Kinsella Magnet School Of Performing Arts: Pk-8 Campus,1996-97,1996,582.0,False
090192000370,Kinsella Magnet School Of Performing Arts: Pk-8 Campus,1997-98,1997,508.0,False
090192000370,Kinsella Magnet School Of Performing Arts: Pk-8 Campus,1998-99,1998,537.0,False
090192000370,Kinsella Magnet School Of Performing Arts: Pk-8 Campus,1999-00,1999,511.0,False
090192000370,Kinsella Magnet School Of Performing Arts: Pk-8 Campus,2000-01,2000,506.0,False
090192000370,Kinsella Magnet School Of Performing Arts: Pk-8 Campus,2001-02,2001,463.0,False
090192000370,Kinsella Magnet School Of Performing Arts: Pk-8 Campus,2002-03,2002,487.0,False
090192000370,Kinsella Magnet School Of Performing Arts: Pk-8 Campus,2003-04,2003,446.0,False
090192000370,Kinsella Magnet School Of Performing Arts: Pk-8 Campus,2004-05,2004,384.0,False
090192000370,Kinsella Magnet School Of Performing Arts: Pk-8 Campus,2005-06,2005,425.0,False
090192000370,Kinsella Magnet School Of Performing Arts: Pk-8 Campus,2006-07,2006,489.0,False
090192000370,Kinsella Magnet School Of Performing Arts: Pk-8 Campus,2007-08,2007,517.0,False
090192000370,Kinsella Magnet School Of Performing Arts: Pk-8 Campus,2008-09,2008,569.0,False
090192000370,Kinsella Magnet School Of Performing Arts: Pk-8 Campus,2009-10,2009,618.0,False
090192000370,Kinsella Magnet School Of Performing Arts: Pk-8 Campus,2010-11,2010,663.0,False
090192000370,Kinsella Magnet School Of Performing Arts: Pk-8 Campus,2011-12,2011,690.0,False
090192000370,Kinsella Magnet School Of Performing Arts: Pk-8 Campus,2012-13,2012,760.0,False
090192000370,Kinsella Magnet School Of Performing Arts: Pk-8 Campus,2013-14,2013,819.0,False
090192000370,Kinsella Magnet School Of Performing Arts: Pk-8 Campus,2014-15,2014,884.0,False
090192000370,Kinsella Magnet School Of Performing Arts: Pk-8 Campus,2015-16,2015,910.0,False
090192000370,Kinsella Magnet School Of Performing Arts: Pk-8 Campus,2016-17,2016,913.0,False
090192000370,Kinsella Magnet School Of Performing Arts: Pk-8 Campus,2017-18,2017,884.0,False
090192000370,Kinsella Magnet School Of Performing Arts: Pk-8 Campus,2018-19,2018,833.0,False
090192000370,Kinsella Magnet School Of Performing Arts: Pk-8 Campus,2019-20,2019,711.0,False
090192000370,Kinsella Magnet School Of Performing Arts: Pk-8 Campus,2020-21,2020,712.0,False
090192000370,Kinsella Magnet School Of Performing Arts: Pk-8 Campus,2021-22,2021,652.0,False
090192000370,Kinsella Magnet School Of Performing Arts: Pk-8 Campus,2022-23,2022,465.0,False
090192000370,Kinsella Magnet School Of Performing Arts: Pk-8 Campus,2023-24,2023,436.0,False
090192000370,Kinsella Magnet School Of Performing Arts: Pk-8 Campus,2024-25,2024,435.0,False
090192000364,M. D. Fox School,1986-87,1986,1211.0,False
090192000364,M. D. Fox School,1987-88,1987,1235.0,False
090192000364,M. D. Fox School,1988-89,1988,1231.0,False
090192000364,M. D. Fox School,1989-90,1989,1251.0,False
090192000364,M. D. Fox School,1990-91,1990,1370.0,False
090192000364,M. D. Fox School,1991-92,1991,1017.0,False
090192000364,M. D. Fox School,1992-93,1992,1059.0,False
090192000364,M. D. Fox School,1993-94,1993,1184.0,False
090192000364,M. D. Fox School,1994-95,1994,1139.0,False
090192000364,M. D. Fox School,1995-96,1995,1138.0,False
090192000364,M. D. Fox School,1996-97,1996,974.0,False
090192000364,M. D. Fox School,1997-98,1997,966.0,False
090192000364,M. D. Fox School,1998-99,1998,1024.0,False
090192000364,M. D. Fox School,1999-00,1999,1018.0,False
090192000364,M. D. Fox School,2000-01,2000,1010.0,False
090192000364,M. D. Fox School,2001-02,2001,1069.0,False
090192000364,M. D. Fox School,2002-03,2002,1010.0,False
090192000364,M. D. Fox School,2003-04,2003,893.0,False
090192000364,M. D. Fox School,2004-05,2004,866.0,False
090192000364,M. D. Fox School,2005-06,2005,925.0,False
090192000364,M. D. Fox School,2006-07,2006,830.0,False
090192000364,M. D. Fox School,2007-08,2007,824.0,False
090192000364,M. D. Fox School,2008-09,2008,783.0,False
090192000364,M. D. Fox School,2009-10,2009,801.0,False
090192000364,M. D. Fox School,2010-11,2010,848.0,False
090192000364,M. D. Fox School,2011-12,2011,688.0,True
090192000364,M. D. Fox School,2012-13,2012,533.0,False
090192000364,M. D. Fox School,2013-14,2013,569.0,False
090192000364,M. D. Fox School,2014-15,2014,602.0,False
090192000364,M. D. Fox School,2015-16,2015,621.0,False
090192000364,M. D. Fox School,2016-17,2016,647.0,False
090192000364,M. D. Fox School,2017-18,2017,610.0,False
090192000364,M. D. Fox School,2018-19,2018,592.0,False
090192000364,M. D. Fox School,2019-20,2019,583.0,False
090192000364,M. D. Fox School,2020-21,2020,525.0,False
090192000364,M. D. Fox School,2021-22,2021,504.0,False
090192000364,M. D. Fox School,2022-23,2022,493.0,False
090192000364,M. D. Fox School,2023-24,2023,531.0,False
090192000364,M. D. Fox School,2024-25,2024,562.0,False
090192000369,M. L. King Jr. Middle School,1986-87,1986,1126.0,False
090192000369,M. L. King Jr. Middle School,1987-88,1987,1159.0,False
