year,ncessch,school_name,state_location,lea_name,school_level,school_type,charter,enrollment,magnet
"2020","090192001925","Hartford Public High School","CT","Hartford School District","High","Regular school","No","844","No"
"2020","090192000368","Kennelly School","CT","Hartford School District","Primary","Regular school","No","605","No"
"2020","090192000370","Kinsella Magnet School of Performing Arts","CT","Hartford School District","Other","Regular school","No","712","Yes"
"2020","090192000364","M. D. Fox School","CT","Hartford School District","Primary","Regular school","No","525","No"
"2020","090192000369","M. L. King Jr. Middle School","CT","Hartford School District","Middle","Regular school","No","274","No"
"2020","090192000371","McDonough Middle School","CT","Hartford School District","Middle","Regular school","No","345","No"
"2020","090192000381","Milner Middle School","CT","Hartford School District","Middle","Regular school","No","328","No"
"2020","090192001641","Montessori Magnet at Batchelder School","CT","Hartford School District","Primary","Regular school","No","372","Yes"
"2020","090192001531","Montessori Magnet at Fisher School","CT","Hartford School District","Primary","Regular school","No","360","Yes"
"2020","090192000372","Naylor/CCSU Leadership Academy","CT","Hartford School District","Primary","Regular school","No","388","No"
"2020","090192000373","Parkville Community School","CT","Hartford School District","Primary","Regular school","No","385","No"
"2020","090192001479","Pathways Academy of Technology and Design","CT","Hartford School District","High","Regular school","No","425","Yes"
"2020","090192000376","Rawson School","CT","Hartford School District","Primary","Regular school","No","255","No"
"2020","090192001582","Renzulli Gifted and Talented Academy","CT","Hartford School District","Middle","Regular school","No","122","No"
"2020","090192000026","Sanchez School","CT","Hartford School District","Primary","Regular school","No","344","No"
"2020","090192000377","SAND School","CT","Hartford School District","Primary","Regular school","No","286","No"
"2020","090192001370","Sport and Medical Sciences Academy","CT","Hartford School District","High","Regular school","No","606","Yes"
"2020","090192000362","STEM Magnet at Annie Fisher School","CT","Hartford School District","Primary","Regular school","No","342","Yes"
"2020","090192001381","University High School of Science and Engineering","CT","Hartford School District","High","Regular school","No","431","Yes"
"2020","090192001939","Weaver High School","CT","Hartford School District","High","Regular school","No","544","No"
"2020","090192000383","Webster Micro Society Magnet School","CT","Hartford School District","Primary","Regular school","No","642","Yes"
"2020","090192000384","West Middle School","CT","Hartford School District","Primary","Regular school","No","262","No"
"2020","090192000385","Wish Museum School","CT","Hartford School District","Primary","Regular school","No","285","No"
"2019","090192000360","Bellizzi School","CT","Hartford School District","Primary","Regular school","No","555","No"
"2019","090192001192","Betances Learning Lab Magnet School","CT","Hartford School District","Primary","Regular school","No","411","Yes"
"2019","090192001616","Betances STEM Magnet School","CT","Hartford School District","Middle","Regular school","No","253","Yes"
"2019","090192001534","Breakthrough Magnet School North","CT","Hartford School District","Primary","Regular school","No","325","Yes"
"2019","090192001369","Breakthrough Magnet School South","CT","Hartford School District","Primary","Regular school","No","327","Yes"
"2019","090192001572","Bulkeley High School","CT","Hartford School District","High","Regular school","No","562","No"
"2019","090192000357","Burns Latino Studies Academy","CT","Hartford School District","Primary","Regular school","No","272","No"
"2019","090192000358","Burr School","CT","Hartford School District","Primary","Regular school","No","579","No"
"2019","090192001650","Capital Community College Magnet Academy","CT","Hartford School District","Missing/not reported","Regular school","No","",""
"2019","090192001435","Capital Preparatory Magnet School","CT","Hartford School District","Other","Regular school","No","631","Yes"
"2019","090192001478","Classical Magnet School","CT","Hartford School District","High","Regular school","No","428","Yes"
"2019","090192001522","Culinary Arts Academy at Weaver High School","CT","Hartford School District","Missing/not reported","Regular school","No","",""
"2019","090192000366","Environmental Sciences Magnet at Hooker School","CT","Hartford School District","Primary","Regular school","No","606","Yes"
"2019","090192000636","Expeditionary Learning Academy at Moylan School","CT","Hartford School District","Primary","Regular school","No","510","No"
"2019","090192001535","Global Communications Academy","CT","Hartford School District","Other","Regular school","No","583","No"
"2019","090192001403","Great Path Academy at MCC","CT","Hartford School District","High","Regular school","No","320","Yes"
"2019","090192001295","Hartford Magnet Trinity College Academy","CT","Hartford School District","High","Regular school","No","1046","Yes"
"2019","090192001643","Hartford PreKindergarten Magnet School","CT","Hartford School District","Prekindergarten","Regular school","No","161","Yes"
"2019","090192001925","Hartford Public High School","CT","Hartford School District","High","Regular school","No","976","No"
"2019","090192001552","High School Inc.","CT","Hartford School District","Missing/not reported","Regular school","No","",""
"2019","090192001574","HPHS Engineering and Green Technology Academy","CT","Hartford School District","Missing/not reported","Regular school","No","",""
"2019","090192001576","HPHS Law and Government Academy","CT","Hartford School District","Missing/not reported","Regular school","No","",""
"2019","090192001559","HPHS Nursing and Health Sciences Academy","CT","Hartford School District","Missing/not reported","Regular school","No","",""
"2019","090192001562","Journalism and Media Academy","CT","Hartford School District","Missing/not reported","Regular school","No","",""
"2019","090192000368","Kennelly School","CT","Hartford School District","Primary","Regular school","No","644","No"
"2019","090192000370","Kinsella Magnet School of Performing Arts","CT","Hartford School District","Other","Regular school","No","711","Yes"
"2019","090192000364","M. D. Fox School","CT","Hartford School District","Primary","Regular school","No","583","No"
"2019","090192000369","M. L. King Jr. Middle School","CT","Hartford School District","Middle","Regular school","No","169","No"
"2019","090192000371","McDonough Middle School","CT","Hartford School District","Middle","Regular school","No","391","No"
"2019","090192000381","Milner Middle School","CT","Hartford School District","Middle","Regular school","No","320","No"
"2019","090192001641","Montessori Magnet at Batchelder School","CT","Hartford School District","Primary","Regular school","No","366","Yes"
"2019","090192001531","Montessori Magnet at Fisher School","CT","Hartford School District","Primary","Regular school","No","358","Yes"
"2019","090192000372","Naylor/CCSU Leadership Academy","CT","Hartford School District","Primary","Regular school","No","423","No"
"2019","090192000373","Parkville Community School","CT","Hartford School District","Primary","Regular school","No","432","No"
"2019","090192001479","Pathways Academy of Technology and Design","CT","Hartford School District","High","Regular school","No","403","Yes"
"2019","090192000376","Rawson School","CT","Hartford School District","Primary","Regular school","No","332","No"
"2019","090192001582","Renzulli Gifted and Talented Academy","CT","Hartford School District","Middle","Regular school","No","129","No"
"2019","090192000026","Sanchez School","CT","Hartford School District","Primary","Regular school","No","381","No"
"2019","090192000377","SAND School","CT","Hartford School District","Primary","Regular school","No","333","No"
"2019","090192001370","Sport and Medical Sciences Academy","CT","Hartford School District","High","Regular school","No","643","Yes"
"2019","090192000362","STEM Magnet at Annie Fisher School","CT","Hartford School District","Primary","Regular school","No","337","Yes"
"2019","090192001381","University High School of Science and Engineering","CT","Hartford School District","High","Regular school","No","429","Yes"
"2019","090192000383","Webster Micro Society Magnet School","CT","Hartford School District","Primary","Regular school","No","635","Yes"
"2019","090192000384","West Middle School","CT","Hartford School District","Primary","Regular school","No","462","No"
"2019","090192000385","Wish Museum School","CT","Hartford School District","Primary","Regular school","No","332","No"
"2018","090192000360","Asian Studies Academy at Bellizzi School","CT","HARTFORD SCHOOL DISTRICT","Primary","Regular school","No","596","No"
"2018","090192000355","Batchelder School","CT","HARTFORD SCHOOL DISTRICT","Missing/not reported","Regular school","No","",""
"2018","090192001192","Betances Early Reading Lab Magnet School","CT","HARTFORD SCHOOL DISTRICT","Primary","Regular school","No","391","Yes"
"2018","090192001616","Betances STEM Magnet School","CT","HARTFORD SCHOOL DISTRICT","Middle","Regular school","No","307","Yes"
"2018","090192001534","Breakthrough Magnet School North","CT","HARTFORD SCHOOL DISTRICT","Primary","Regular school","No","296","Yes"
"2018","090192001369","Breakthrough Magnet School South","CT","HARTFORD SCHOOL DISTRICT","Primary","Regular school","No","350","Yes"
"2018","090192001572","Bulkeley High School","CT","HARTFORD SCHOOL DISTRICT","High","Regular school","No","680","No"
"2018","090192000357","Burns Latino Studies Academy","CT","HARTFORD SCHOOL DISTRICT","Primary","Regular school","No","467","No"
"2018","090192000358","Burr School","CT","HARTFORD SCHOOL DISTRICT","Primary","Regular school","No","546","No"
"2018","090192001650","Capital Community College Magnet Academy","CT","HARTFORD SCHOOL DISTRICT","High","Regular school","No","11","Yes"
"2018","090192001435","Capital Preparatory Magnet School","CT","HARTFORD SCHOOL DISTRICT","Other","Regular school","No","523","Yes"
"2018","090192001478","Classical Magnet School","CT","HARTFORD SCHOOL DISTRICT","High","Regular school","No","532","Yes"
"2018","090192001522","Culinary Arts Academy at Weaver High School","CT","HARTFORD SCHOOL DISTRICT","High","Regular school","No","24","No"
"2018","090192000366","Environmental Sciences Magnet at Hooker School","CT","HARTFORD SCHOOL DISTRICT","Primary","Regular school","No","607","Yes"
"2018","090192000636","Expeditionary Learning Academy at Moylan School","CT","HARTFORD SCHOOL DISTRICT","Primary","Regular school","No","551","No"
"2018","090192001535","Global Communications Academy","CT","HARTFORD SCHOOL DISTRICT","Other","Regular school","No","599","No"
"2018","090192001403","Great Path Academy at MCC","CT","HARTFORD SCHOOL DISTRICT","High","Regular school","No","326","Yes"
"2018","090192001295","Hartford Magnet Trinity College Academy","CT","HARTFORD SCHOOL DISTRICT","High","Regular school","No","1057","Yes"
"2018","090192001643","Hartford PreKindergarten Magnet School","CT","HARTFORD SCHOOL DISTRICT","Prekindergarten","Regular school","No","151","Yes"
"2018","090192001552","High School Inc.","CT","HARTFORD SCHOOL DISTRICT","High","Regular school","No","190","No"
"2018","090192001574","HPHS Engineering and Green Technology Academy","CT","HARTFORD SCHOOL DISTRICT","High","Regular school","No","370","No"
"2018","090192001576","HPHS Law and Government Academy","CT","HARTFORD SCHOOL DISTRICT","High","Regular school","No","324","No"
"2018","090192001559","HPHS Nursing and Health Sciences Academy","CT","HARTFORD SCHOOL DISTRICT","High","Regular school","No","344","No"
"2018","090192001562","Journalism and Media Academy","CT","HARTFORD SCHOOL DISTRICT","High","Regular school","No","170","No"
"2018","090192000368","Kennelly School","CT","HARTFORD SCHOOL DISTRICT","Primary","Regular school","No","626","No"
"2018","090192000370","Kinsella Magnet School of Performing Arts","CT","HARTFORD SCHOOL DISTRICT","Other","Regular school","No","833","Yes"
"2018","090192000364","M. D. Fox School","CT","HARTFORD SCHOOL DISTRICT","Primary","Regular school","No","592","No"
"2018","090192000369","M. L. King Jr. Middle School","CT","HARTFORD SCHOOL DISTRICT","Middle","Regular school","No","182","No"
"2018","090192000371","McDonough Middle School","CT","HARTFORD SCHOOL DISTRICT","Middle","Regular school","No","294","No"
"2018","090192000381","Milner School","CT","HARTFORD SCHOOL DISTRICT","Primary","Regular school","No","329","No"
"2018","090192001531","Montessori Magnet at Fisher School","CT","HARTFORD SCHOOL DISTRICT","Primary","Regular school","No","352","Yes"
"2018","090192001641","Montessori Magnet at Moylan School","CT","HARTFORD SCHOOL DISTRICT","Primary","Regular school","No","345","Yes"
"2018","090192000372","Naylor/CCSU Leadership Academy","CT","HARTFORD SCHOOL DISTRICT","Primary","Regular school","No","521","No"
"2018","090192000373","Parkville Community School","CT","HARTFORD SCHOOL DISTRICT","Primary","Regular school","No","451","No"
"2018","090192001479","Pathways Academy of Technology and Design","CT","HARTFORD SCHOOL DISTRICT","High","Regular school","No","428","Yes"
